length_ft,width_ft,length_norm,surface_code,lighted,area,size_category
1500.0,30.0,0.05,168,0,45000.0,small
1950.0,50.0,0.065,501,0,97500.0,medium
1000.0,70.0,0.03333333333333333,168,0,70000.0,medium
6000.0,500.0,0.2,551,0,3000000.0,large
2600.0,500.0,0.08666666666666667,551,0,1300000.0,large
50.0,50.0,0.0016666666666666668,123,1,2500.0,small
117.0,117.0,0.0039,123,1,13689.0,small
3600.0,60.0,0.12,168,1,216000.0,large
40.0,40.0,0.0013333333333333333,123,1,1600.0,small
2000.0,200.0,0.06666666666666667,501,0,400000.0,large
50.0,40.0,0.0016666666666666668,123,0,2000.0,small
1990.0,65.0,0.06633333333333333,501,0,129350.0,medium
1955.0,60.0,0.06516666666666666,501,0,117300.0,medium
1800.0,100.0,0.06,501,0,180000.0,medium
1000.0,200.0,0.03333333333333333,501,0,200000.0,large
2600.0,105.0,0.08666666666666667,501,0,273000.0,large
40.0,40.0,0.0013333333333333333,123,0,1600.0,small
25.0,25.0,0.0008333333333333334,301,0,625.0,small
2300.0,80.0,0.07666666666666666,501,0,184000.0,medium
60.0,60.0,0.002,501,0,3600.0,small
40.0,40.0,0.0013333333333333333,123,1,1600.0,small
3800.0,200.0,0.12666666666666668,551,0,760000.0,large
1600.0,60.0,0.05333333333333334,501,0,96000.0,medium
50.0,50.0,0.0016666666666666668,123,1,2500.0,small
2400.0,90.0,0.08,501,0,216000.0,large
20.0,20.0,0.0006666666666666666,501,0,400.0,small
1940.0,75.0,0.06466666666666666,501,0,145500.0,medium
60.0,60.0,0.002,123,0,3600.0,small
2400.0,24.0,0.08,25,1,57600.0,medium
2400.0,50.0,0.08,168,0,120000.0,medium
3000.0,40.0,0.1,36,0,120000.0,medium
2600.0,50.0,0.08666666666666667,501,0,130000.0,medium
2200.0,200.0,0.07333333333333333,501,0,440000.0,large
12.0,80.0,0.0004,25,0,960.0,small
3200.0,30.0,0.10666666666666667,517,0,96000.0,medium
2000.0,75.0,0.06666666666666667,501,0,150000.0,medium
2100.0,60.0,0.07,501,0,126000.0,medium
2200.0,60.0,0.07333333333333333,501,0,132000.0,medium
60.0,60.0,0.002,123,0,3600.0,small
1200.0,50.0,0.04,501,0,60000.0,medium
1900.0,30.0,0.06333333333333334,501,0,57000.0,medium
2950.0,60.0,0.09833333333333333,123,0,177000.0,medium
130.0,80.0,0.004333333333333333,25,0,10400.0,small
100.0,100.0,0.0033333333333333335,501,0,10000.0,small
2926.0,65.0,0.09753333333333333,501,0,190190.0,medium
2115.0,100.0,0.0705,512,0,211500.0,large
40.0,40.0,0.0013333333333333333,123,1,1600.0,small
3500.0,100.0,0.11666666666666667,501,0,350000.0,large
20.0,20.0,0.0006666666666666666,501,0,400.0,small
90.0,90.0,0.003,25,0,8100.0,small
3000.0,50.0,0.1,501,0,150000.0,medium
150.0,150.0,0.005,501,0,22500.0,small
5000.0,35.0,0.16666666666666666,301,0,175000.0,medium
3250.0,35.0,0.10833333333333334,301,0,113750.0,medium
2800.0,60.0,0.09333333333333334,301,0,168000.0,medium
2200.0,60.0,0.07333333333333333,337,0,132000.0,medium
54.0,54.0,0.0018,115,0,2916.0,small
3200.0,50.0,0.10666666666666667,506,0,160000.0,medium
1600.0,50.0,0.05333333333333334,501,0,80000.0,medium
1300.0,100.0,0.043333333333333335,501,0,130000.0,medium
825.0,68.0,0.0275,501,0,56100.0,medium
100.0,100.0,0.0033333333333333335,25,0,10000.0,small
40.0,40.0,0.0013333333333333333,25,1,1600.0,small
8000.0,150.0,0.26666666666666666,16,0,1200000.0,large
1900.0,100.0,0.06333333333333334,338,0,190000.0,medium
50.0,100.0,0.0016666666666666668,501,0,5000.0,small
2620.0,212.0,0.08733333333333333,501,0,555440.0,large
3000.0,100.0,0.1,501,0,300000.0,large
39.0,39.0,0.0013,115,0,1521.0,small
2382.0,120.0,0.0794,512,1,285840.0,large
2310.0,84.0,0.077,512,0,194040.0,medium
3000.0,25.0,0.1,172,0,75000.0,medium
1700.0,70.0,0.056666666666666664,501,0,119000.0,medium
4000.0,1000.0,0.13333333333333333,551,0,4000000.0,large
2200.0,150.0,0.07333333333333333,501,0,330000.0,large
1700.0,30.0,0.056666666666666664,25,0,51000.0,medium
40.0,40.0,0.0013333333333333333,123,1,1600.0,small
60.0,60.0,0.002,127,0,3600.0,small
2100.0,300.0,0.07,501,0,630000.0,large
50.0,50.0,0.0016666666666666668,25,1,2500.0,small
1950.0,120.0,0.065,501,0,234000.0,large
2000.0,100.0,0.06666666666666667,512,0,200000.0,large
2500.0,150.0,0.08333333333333333,501,0,375000.0,large
3400.0,100.0,0.11333333333333333,47,0,340000.0,large
2100.0,100.0,0.07,501,0,210000.0,large
1900.0,100.0,0.06333333333333334,501,0,190000.0,medium
91.0,35.0,0.003033333333333333,25,0,3185.0,small
2500.0,100.0,0.08333333333333333,501,0,250000.0,large
3500.0,50.0,0.11666666666666667,501,1,175000.0,medium
78.0,36.0,0.0026,115,0,2808.0,small
3240.0,45.0,0.108,25,1,145800.0,medium
5200.0,50.0,0.17333333333333334,501,0,260000.0,large
50.0,100.0,0.0016666666666666668,123,0,5000.0,small
45.0,45.0,0.0015,123,0,2025.0,small
100.0,100.0,0.0033333333333333335,123,0,10000.0,small
